FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
110601.1406,96882,165951.2813,146598,262143,857.460022,1594.02002,1276.890015,399.8999939,619.0999756,402.6199951,42405.48047,119.2998047,Bcells2,1177_Bcells2
119290.2188,94194,73137.67969,64966,345.1000061,481.7399902,2416.140137,1589.369995,273.4200134,102.5,-61.5,-93.47999573,120.8994141,Bcells2,1194_Bcells2
133143.7656,114396,58672.23828,53112,534.6500244,197.1600037,209.25,440.8200073,298.5299988,96.76000214,-83.63999939,3550.599854,123.7001953,Bcells2,1232_Bcells2
165862.8594,132024,58808.64063,53260,238.8500061,409.2000122,321.7799988,10485.75,2962.97998,482.980011,1311.179932,1473.540039,125.5,Bcells2,1244_Bcells2
124767.7031,106662,51222.16016,46114,1025.099976,245.5200043,264.1199951,359.9100037,517.0800171,263.2200012,4.099999905,1623.599976,126.5996094,Bcells2,1251_Bcells2
129030.1016,107186,56550.55859,46390,1173.849976,227.8500061,157.1699982,229.7100067,-276.2099915,119.7200012,133.6600037,3612.919922,128,Bcells2,1264_Bcells2
135655.3281,121906,64313.91797,58914,33.15000153,300.3900146,926.2800293,605.4299927,440.8200073,-30.34000015,189.4199982,-205.8199921,128.2001953,Bcells2,1269_Bcells2
169622.0625,137183,121677.6016,99339,2946.100098,447.3300171,176.6999969,7514.399902,3264.300049,1195.559937,1265.26001,5667.02002,129.8994141,Bcells2,1277_Bcells2
262143,195416,204043.8438,104540,15651.90039,2756.52002,1463.820068,195053.5469,262143,5258.660156,36292.37891,43385.37891,131.2001953,Bcells2,1293_Bcells2
145602.4063,115559,71368,54723,834.7000122,298.5299988,371.0700073,1337.339966,252.9600067,66.41999817,-12.30000019,493.6399841,132.5996094,Bcells2,1308_Bcells2
136063.7969,115427,57083.83984,52135,507.4500122,342.2399902,1770.719971,1739.099976,857.460022,138.5800018,82,163.1799927,134,Bcells2,1322_Bcells2
110760.9844,96160,38006.32031,34288,7631.300293,10295.09961,2286.870117,47754.57031,262143,9884.280273,10841.21973,16627.95898,135.2001953,Bcells2,1329_Bcells2
135001.1563,112594,62981.60156,56386,154.6999969,286.4400024,1030.440063,893.7299805,-602.6400146,43.45999908,85.27999878,115.6200027,135.5996094,Bcells2,1333_Bcells2
21311.25977,20223,15794.24023,15695,228.6500092,44.63999939,1.860000014,-72.54000092,-313.4100037,-63.13999939,90.19999695,387.8599854,136.2001953,Bcells2,1336_Bcells2
195420.6875,150482,159824.7188,128726,2176,672.3900146,514.289978,24263.69922,7755.27002,700.2799683,3094.679932,1585.880005,137.5,Bcells2,1347_Bcells2
205800.6563,161405,143175.125,114889,2837.300049,531.960022,434.3099976,22604.58008,8761.530273,995.4799805,3029.080078,4751.080078,140,Bcells2,1366_Bcells2
121405.1406,108522,60393.51953,55422,491.3000183,342.2399902,1490.790039,4028.76001,1323.390015,128.7400055,333.7399902,394.4199829,140.0996094,Bcells2,1368_Bcells2
118820.3203,100795,57094.39844,51615,572.9000244,225.9900055,128.3399963,704.9400024,643.5599976,282.0799866,152.5200043,4760.919922,140.2998047,Bcells2,1370_Bcells2
65953.98438,50951,111539.1172,94647,1644.75,288.2999878,186.9300079,1310.369995,434.3099976,148.4199982,-9.840000153,310.7799988,141.3994141,Bcells2,1380_Bcells2
23965.64063,24016,16212.24023,15812,147.0500031,26.04000092,51.15000153,-66.02999878,-396.1799927,53.29999924,70.51999664,84.45999908,141.5996094,Bcells2,1383_Bcells2
158732.9688,125364,129595.8359,108528,2774.400146,387.8099976,326.4299927,3333.120117,890.0100098,482.980011,252.5599976,4951.97998,141.5996094,Bcells2,1384_Bcells2
48921.40234,47151,37809.19922,35963,1082.900024,87.41999817,35.34000015,204.6000061,32.54999924,138.5800018,0,1030.73999,142.2998047,Bcells2,1391_Bcells2
107519.0391,96544,67933.35938,61972,161.5,353.3999939,1750.26001,753.2999878,575.6699829,-52.47999954,107.4199982,964.3200073,142.5,Bcells2,1394_Bcells2
178179.4219,148693,100595.4375,87521,2462.449951,464.0700073,271.5599976,33945.92969,8586.69043,1215.23999,4172.160156,4490.319824,142.5996094,Bcells2,1397_Bcells2
170932.6094,131755,111816.3203,98395,1488.350098,242.7299957,263.1900024,21916.38086,5240.549805,666.6599731,2578.899902,3242.280029,143,Bcells2,1399_Bcells2
